stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel,gruene,gruene_rel,linke,linke_rel,wfw,wfw_rel,sonstige,sonstige_rel
140,Schützenstr. 34,Wuppertal,1248,271,4,267,117,43.8,74,27.7,28,10.5,16,6,10,3.8,22,8.2
141,Wilkhausstr. 133a,Wuppertal,1298,459,6,453,183,40.4,127,28,69,15.2,32,7.1,19,4.2,23,5.1
142,Wilkhausstr. 133a,Wuppertal,1249,339,2,337,135,40.1,114,33.8,52,15.4,10,3,10,3,16,4.7
143,Meckelstr. 106,Wuppertal,1261,509,3,506,159,31.4,174,34.4,101,20,29,5.7,17,3.4,26,5.1
144,Meckelstr. 106,Wuppertal,1372,420,3,417,157,37.6,114,27.3,66,15.8,44,10.6,12,2.9,24,5.8
145,Marper Schulweg 6,Wuppertal,1196,476,6,470,108,23,261,55.5,54,11.5,24,5.1,11,2.3,12,2.5
146,Marper Schulweg 6,Wuppertal,1762,686,4,682,252,37,295,43.3,69,10.1,31,4.5,12,1.8,23,3.4
147,Bundeshöhe 7,Wuppertal,749,375,9,366,120,32.8,182,49.7,25,6.8,18,4.9,8,2.2,13,3.5
148,Hesselnberg 42,Wuppertal,1069,315,4,311,107,34.4,81,26.1,44,14.2,38,12.2,9,2.9,32,10.3
149,Hesselnberg 42,Wuppertal,1152,251,2,249,94,37.8,72,28.9,38,15.3,19,7.6,13,5.2,13,5.2
150,Max-Planck-Str. 10,Wuppertal,1559,189,1,188,64,34,65,34.6,17,9,21,11.2,5,2.7,16,8.5
151,Heinrich-Böll-Str. 136,Wuppertal,1436,266,1,265,108,40.8,95,35.9,27,10.2,15,5.7,8,3,12,4.5
152,Max-Planck-Str. 10,Wuppertal,1152,194,2,192,77,40.1,65,33.9,13,6.8,22,11.5,5,2.6,10,5.2
153,Peter-Hansen-Platz 1,Wuppertal,1232,226,4,222,72,32.4,95,42.8,14,6.3,25,11.3,5,2.2,11,5
154,Wikingerstr. 23,Wuppertal,1390,240,2,238,86,36.1,77,32.4,29,12.2,23,9.7,4,1.7,19,8
155,Bartholomäusstr. 70,Wuppertal,1299,279,10,269,102,37.9,95,35.3,30,11.2,17,6.3,8,3,17,6.3
156,Matthäusstr. 24,Wuppertal,1430,306,14,292,114,39,93,31.9,26,8.9,25,8.6,16,5.5,18,6.2
157,Bachstr. 15,Wuppertal,1114,191,3,188,64,34,67,35.6,17,9,15,8,6,3.2,19,10.1
158,Germanenstr. 36,Wuppertal,1110,181,0,181,61,33.7,59,32.6,30,16.6,10,5.5,7,3.9,14,7.7
159,Germanenstr. 36,Wuppertal,1008,123,1,122,48,39.3,38,31.1,9,7.4,16,13.1,1,0.8,10,8.2
160,Lentzestr. 14,Wuppertal,1314,253,3,250,83,33.2,76,30.4,34,13.6,27,10.8,6,2.4,24,9.6
161,Haarhausen 22,Wuppertal,1163,310,5,305,110,36.1,117,38.4,42,13.8,15,4.9,4,1.3,17,5.6
162,Kreuzstr. 85,Wuppertal,1154,215,0,215,100,46.5,70,32.6,16,7.4,14,6.5,5,2.3,10,4.7
163,Kreuzstr. 85,Wuppertal,1086,185,2,183,71,38.8,64,35,26,14.2,10,5.5,1,0.6,11,6
164,Am Diek 65,Wuppertal,1509,345,6,339,119,35.1,141,41.6,31,9.1,22,6.5,8,2.4,18,5.3
165,Liegnitzer Str. 64,Wuppertal,1359,333,3,330,120,36.4,110,33.3,30,9.1,40,12.1,8,2.4,22,6.7
166,Wichlinghauser Str. 74-76,Wuppertal,1256,192,3,189,87,46,35,18.5,25,13.2,22,11.6,8,4.2,12,6.3
167,Stollenstr. 2,Wuppertal,1021,237,4,233,99,42.5,76,32.6,19,8.2,18,7.7,8,3.4,13,5.6
168,Wittener Str. 144,Wuppertal,1230,348,5,343,115,33.5,95,27.7,40,11.7,11,3.2,62,18.1,20,5.8
169,Wittener Str. 144,Wuppertal,1287,363,2,361,101,28,158,43.8,47,13,15,4.2,19,5.3,21,5.8
170,Im Kämpchen 9,Wuppertal,1681,365,5,360,136,37.8,144,40,35,9.7,27,7.5,10,2.8,8,2.2
171,Haarhausen 22,Wuppertal,1092,275,1,274,99,36.1,102,37.2,28,10.2,10,3.6,11,4,24,8.8
172,Haselrain 38,Wuppertal,1367,541,4,537,182,33.9,235,43.8,66,12.3,26,4.8,11,2,17,3.2
173,Haselrain 38,Wuppertal,1331,426,1,425,154,36.2,180,42.4,55,12.9,17,4,6,1.4,13,3.1
174,Haselrain 38,Wuppertal,1268,207,3,204,70,34.3,87,42.6,13,6.4,11,5.4,2,1,21,10.3
175,Gewerbeschulstr. 109,Wuppertal,1294,207,1,206,92,44.7,62,30.1,23,11.2,14,6.8,1,0.5,14,6.8
176,Gewerbeschulstr. 109,Wuppertal,1100,211,3,208,71,34.1,63,30.3,24,11.5,18,8.7,11,5.3,21,10.1
177,Obere Sehlhofstr. 44,Wuppertal,1201,375,4,371,133,35.9,145,39.1,36,9.7,23,6.2,5,1.4,29,7.8
178,Obere Sehlhofstr. 44,Wuppertal,1326,405,3,402,159,39.5,127,31.6,62,15.4,25,6.2,7,1.7,22,5.5
179,Schubertstr. 41,Wuppertal,1463,545,6,539,171,31.7,254,47.1,64,11.9,18,3.3,14,2.6,18,3.3
180,Berg-Mark-Str. 5,Wuppertal,1001,322,8,314,137,43.6,98,31.2,39,12.4,22,7,1,0.3,17,5.4
181,Gewerbeschulstr. 34,Wuppertal,975,195,1,194,73,37.6,53,27.3,25,12.9,19,9.8,10,5.2,14,7.2
182,Meyerstr. 32,Wuppertal,1331,224,5,219,72,32.9,82,37.4,15,6.8,28,12.8,4,1.8,18,8.2
183,Meyerstr. 32,Wuppertal,1251,284,3,281,126,44.8,80,28.5,28,10,24,8.5,2,0.7,21,7.5
184,Heckinghauser Str. 195,Wuppertal,1276,230,2,228,96,42.1,60,26.3,19,8.3,24,10.5,8,3.5,21,9.2
185,Auf der Bleiche 53,Wuppertal,1613,396,8,388,156,40.2,135,34.8,29,7.5,26,6.7,12,3.1,30,7.7
186,Gosenburg 62,Wuppertal,1441,407,4,403,152,37.7,134,33.2,50,12.4,31,7.7,13,3.2,23,5.7
187,Hammesberger Weg 26,Wuppertal,1076,310,3,307,139,45.3,100,32.6,28,9.1,15,4.9,7,2.3,18,5.9
188,Schwelmer Str. 133,Wuppertal,1193,256,6,250,98,39.2,94,37.6,23,9.2,14,5.6,9,3.6,12,4.8
